pmid,source
10022502,GlyTouCan_glycan
10022822,UniProtKB
10024660,UniCarbKB
10024660,UniCarbKB_glycan
10029548,UniCarbKB
10029548,UniCarbKB_glycan
10066782,UniProtKB
10074346,UniProtKB
10089882,UniProtKB
10091666,UniProtKB
10092871,GlyTouCan_glycan
10092871,UniCarbKB
10092871,UniCarbKB_glycan
10092871,UniProtKB
10096092,GlyTouCan_glycan
10200178,UniCarbKB
10200178,UniCarbKB_glycan
10200296,GlyTouCan_glycan
10201933,UniProtKB
10206894,UniProtKB
10207176,UniProtKB
10207177,UniCarbKB
10207177,UniCarbKB_glycan
10209036,UniProtKB
10330415,GlyTouCan_glycan
10335590,GlyTouCan_glycan
10350354,GlyTouCan_glycan
10358049,UniProtKB
10365852,GlyTouCan_glycan
10368296,GlyTouCan_glycan
10372971,GlyTouCan_glycan
10386995,GlyTouCan_glycan
10386995,UniProtKB
10393028,GlyTouCan_glycan
10394128,GlyTouCan_glycan
10397151,UniProtKB
10419520,UniProtKB
10428856,GlyTouCan_glycan
10429212,UniProtKB
10432405,GlyTouCan_glycan
10435581,GlyTouCan_glycan
10436809,GlyTouCan_glycan
10441114,UniCarbKB
10441114,UniCarbKB_glycan
10441114,UniProtKB
10447878,GlyTouCan_glycan
10452964,UniProtKB
10462545,UniProtKB
10469154,GlyTouCan_glycan
10491017,GlyTouCan_glycan
10491181,GlyTouCan_glycan
10491405,GlyTouCan_glycan
10498179,GlyTouCan_glycan
10506931,GlyTouCan_glycan
10520260,GlyTouCan_glycan
10521539,GlyTouCan_glycan
10526159,GlyTouCan_glycan
10528213,GlyTouCan_glycan
10531064,UniProtKB
10531415,UniProtKB
10536039,GlyTouCan_glycan
10537111,UniProtKB
10542057,GlyTouCan_glycan
10551839,UniProtKB
10559782,GlyTouCan_glycan
10570420,GlyTouCan_glycan
10571017,GlyTouCan_glycan
1059087,UniProtKB
10602885,GlyTouCan_glycan
10639192,UniProtKB
10644446,UniProtKB
10644674,GlyTouCan_glycan
10648523,GlyTouCan_glycan
10669592,UniProtKB
10677208,UniCarbKB_glycan
10677208,UniProtKB
10684642,UniProtKB
10704524,UniCarbKB
10704524,UniCarbKB_glycan
10712696,GlyTouCan_glycan
107170,GlyTouCan_glycan
10722702,GlyTouCan_glycan
10723608,GlyTouCan_glycan
10728707,GlyTouCan_glycan
10731668,UniCarbKB
10731668,UniCarbKB_glycan
10731668,UniProtKB
10735874,GlyTouCan_glycan
10748143,GlyTouCan_glycan
10753899,GlyTouCan_glycan
10756055,UniProtKB
10764840,UniCarbKB
10764840,UniCarbKB_glycan
10766826,UniCarbKB
10766826,UniCarbKB_glycan
10769135,UniProtKB
10775425,GlyTouCan_glycan
10801981,GlyTouCan_glycan
10805801,UniProtKB
10811226,UniProtKB
10814696,UniCarbKB
10814696,UniCarbKB_glycan
10814702,GlyTouCan_glycan
10821832,UniProtKB
108268,UniCarbKB
108268,UniCarbKB_glycan
10842180,UniProtKB
10852523,GlyTouCan_glycan
10854286,GlyTouCan_glycan
10858503,UniProtKB
10861210,UniProtKB
10861392,UniCarbKB
10861392,UniCarbKB_glycan
10871631,UniProtKB
10878002,UniProtKB
10889209,UniProtKB
10894166,GlyTouCan_glycan
10894551,UniProtKB
10899108,UniProtKB
10903744,UniProtKB
10920251,UniCarbKB_glycan
10921916,UniProtKB
10929010,UniCarbKB
10929010,UniCarbKB_glycan
10930422,UniProtKB
10931205,GlyTouCan_glycan
10950950,GlyTouCan_glycan
10952412,GlyTouCan_glycan
10971113,GlyTouCan_glycan
10971172,GlyTouCan_glycan
10975398,GlyTouCan_glycan
10978165,UniProtKB
10988252,UniCarbKB
10988252,UniCarbKB_glycan
10992504,GlyTouCan_glycan
10993897,GlyTouCan_glycan
10995228,GlyTouCan_glycan
10995228,UniCarbKB_glycan
10995228,UniProtKB
11003551,GlyTouCan_glycan
11004681,GlyTouCan_glycan
11028065,GlyTouCan_glycan
