glytoucan,test
glytoucan_ac,source
G00433UK,GlyConnect
G02030ZB,GlyConnect
G02315DX,GlyConnect
G02628JF,GlyConnect
G03382KH,GlyConnect
G03461SC,GlyConnect
G03693IY,GlyConnect
G04672QB,GlyConnect
G04795RQ,GlyConnect
G05724UK,GlyConnect
G05813WO,GlyConnect
G06010PM,GlyConnect
G06290IR,GlyConnect
G06330RB,GlyConnect
G06906LK,GlyConnect
G07075ND,GlyConnect
G08110WX,GlyConnect
G08796TW,GlyConnect
G10019LZ,GlyConnect
G10148VG,GlyConnect
G10256JP,GlyConnect
G11611PG,GlyConnect
G11629QQ,GlyConnect
G12579WK,GlyConnect
G12728EY,GlyConnect
G12793SR,GlyConnect
G13694XX,GlyConnect
G14110OQ,GlyConnect
G14260UH,GlyConnect
G14456RI,GlyConnect
G14796IU,GlyConnect
G14994KB,GlyConnect
G15169WU,GlyConnect
G15363AF,GlyConnect
G15488CF,GlyConnect
G15569GG,GlyConnect
G16136DL,GlyConnect
G18589KA,GlyConnect
G18590ZR,GlyConnect
G18639PA,GlyConnect
G18804KX,GlyConnect
G18938PT,GlyConnect
G19116TW,GlyConnect
G19359HX,GlyConnect
G19385TO,GlyConnect
G19603RR,GlyConnect
G19993OB,GlyConnect
G20210JR,GlyConnect
G20312EM,GlyConnect
G20425TQ,GlyConnect
G20577LS,GlyConnect
G20732FY,GlyConnect
G21070BH,GlyConnect
G22274VA,GlyConnect
G22276PO,GlyConnect
G22310AV,GlyConnect
G23133OF,GlyConnect
G23165GD,GlyConnect
G23221TW,GlyConnect
G23432EQ,GlyConnect
G23811SR,GlyConnect
G23869AA,GlyConnect
G23984SE,GlyConnect
G24084IV,GlyConnect
G24164CX,GlyConnect
G24835MQ,GlyConnect
G24954UD,GlyConnect
G25278BX,GlyConnect
G25379SA,GlyConnect
G26101XB,GlyConnect
G26403SG,GlyConnect
G26759AS,GlyConnect
G26915XM,GlyConnect
G27322BI,GlyConnect
G27945LI,GlyConnect
G28135GF,GlyConnect
G28975ZZ,GlyConnect
G29501UT,GlyConnect
G29511JR,GlyConnect
G29972TM,GlyConnect
G30751OD,GlyConnect
G30769VJ,GlyConnect
G30799SW,GlyConnect
G31433PN,GlyConnect
G31596VW,GlyConnect
G31615DN,GlyConnect
G31665QC,GlyConnect
G31916IQ,GlyConnect
G31936TA,GlyConnect
G31966KA,GlyConnect
G31973KL,GlyConnect
G32259BI,GlyConnect
G32332VU,GlyConnect
G33791AF,GlyConnect
G34105RF,GlyConnect
G34423JR,GlyConnect
G34617SM,GlyConnect
G35107SO,GlyConnect
G35305EF,GlyConnect
G35697OJ,GlyConnect
G36013ES,GlyConnect
G36591UL,GlyConnect
